"Title: Share of Medicaid Population Covered under Different Delivery Systems | KFF State Health Facts"
"Timeframe: as of July 1, 2022"
"Location","Type(s) of Managed Care In Place","Percent of Medicaid Population in MCO","Percent of Medicaid Population in PCCM","Percent of Medicaid Population in FFS/Other",Footnotes
"United States","N/A","N/A","N/A","N/A"
"Alabama","PCCM","-","0.98","0.02"
"Alaska","FFS","-","-","1"
"Arizona","MCO and PCCM","0.873","0.018","0.109"
"Arkansas","MCO and PCCM","0.047","0.429","0.524","1, 2"
"California","MCO","0.886","-","0.114"
"Colorado","MCO and PCCM","0.11","0.89","0","3"
"Connecticut","FFS","-","-","1","4"
"Delaware","MCO","> .95","-","< .05"
"District of Columbia","MCO","0.88","-","0.12"
"Florida","MCO","0.87","-","0.13"
"Georgia","MCO","0.75","-","0.25","2"
"Hawaii","MCO","0.999","-","0.001"
"Idaho","PCCM","-","0.89","0.11","5"
"Illinois","MCO","0.804","-","0.197"
"Indiana","MCO","0.837","-","0.163"
"Iowa","MCO","0.95","-","0.05"
"Kansas","MCO","0.98","-","0.02"
"Kentucky","MCO","0.9","-","0.1"
"Louisiana","MCO","0.91","-","0.09"
"Maine","FFS","-","-","1"
"Maryland","MCO","0.9","-","0.1"
"Massachusetts","MCO and PCCM","0.56","0.33","0.11"
"Michigan","MCO","0.76","-","0.239"
"Minnesota","MCO","0.876","-","0.124"
"Mississippi","MCO","0.462","-","0.538"
"Missouri","MCO","0.79","-","0.21"
"Montana","PCCM","-","0.869","0.131"
"Nebraska","MCO","0.999","-","0.001"
"Nevada","MCO","0.83","-","0.17"
"New Hampshire","MCO","0.98","-","0.02"
"New Jersey","MCO","0.98","-","0.02"
"New Mexico","MCO","0.92","-","0.08"
"New York","MCO","0.774","-","0.226"
"North Carolina","MCO and PCCM","0.69","0.28","0.03"
"North Dakota","MCO and PCCM","0.268","0.439","0.293"
"Ohio","MCO","0.906","-","0.094"
"Oklahoma","PCCM","-","0.66","0.34"
"Oregon","MCO","0.915","-","0.085","6"
"Pennsylvania","MCO","0.972","-","0.028"
"Rhode Island","MCO","0.875","-","0.125"
"South Carolina","MCO","0.81","-","0.19","7"
"South Dakota","PCCM","-","0.66","0.34"
"Tennessee","MCO","1","-","0"
"Texas","MCO","0.97","-","0.03"
"Utah","MCO","0.84","-","0.16"
"Vermont","FFS","-","-","1"
"Virginia","MCO","0.98","-","0.02"
"Washington","MCO and PCCM","0.878","< .01","0.122"
"West Virginia","MCO","0.81","-","0.19"
"Wisconsin","MCO","0.815","-","0.185"
"Wyoming","FFS","-","-","1"

"Notes"
"MCO refers to risk-based managed care; PCCM refers to Primary Care Case Management. FFS/Other refers to Medicaid beneficiaries who are not in MCOs or PCCM programs."

"Sources"
"[KFF Survey of Medicaid Officials in 50 states and DC](https://www.kff.org/medicaid/report/medicaid-budget-survey-for-state-fiscal-years-2022-and-2023) conducted by Health Management Associates, October 2022."

"Definitions"
"*MCO* refers to risk-based managed care. MCOs cover a comprehensive set of benefits (acute care services and sometimes long-term services and supports). MCOs are at financial risk for the services covered under their contracts and receive a per member per month ""capitation"" payment for these services. "
""
"*PCCM* refers to Primary Care Case Management. PCCM programs retain fee-for-service (FFS) reimbursements to providers, but enroll beneficiaries with a primary care provider who is paid a small monthly fee to provide case management services in addition to primary care. "
""
"*Fee-for-Service (FFS)/Other* refers to Medicaid beneficiaries who are not in MCOs or PCCM programs."
""
"*""-"":* State did not have enrollment in the delivery model."


Footnotes
"1. In Arkansas, most expansion adults are served by Qualified Health Plans through premium assistance waiver."
"2. Arkansas and Georgia did not submit a survey response to the 2022 survey; therefore, 2021 survey data were used for this analysis."
"3. In Colorado, PCCM enrollees are part of the state's Accountable Care Collaboratives (ACCs)."
"4. Connecticut does not have capitated managed care arrangements, but does operate its program on a fee-for-service basis using three ASO entities and also uses PCCM authority to provide value-based payments in its Person-Centered Medical Home Plus (PCMH+) program."
"5. Idaho's Medicaid-Medicare Coordinated Plan (MMCP) has been recategorized by CMS as an MCO but is not counted here as such since it is secondary to Medicare."
"6. In Oregon, MCO enrollees include those enrolled in the state's Coordinated Care Organizations (CCOs)."
"7. South Carolina uses PCCM authority to provide care management services to enrollees in its Medically Complex Children’s waiver program"
