"Title: Medicaid Managed Care Penetration Rates by Eligibility Group | KFF State Health Facts"
"Timeframe: as of July 1, 2022"
"Location","Children","Expansion Adult","Aged & Disabled","All Other Adults",Footnotes
"Alabama","-","-","-","-"
"Alaska","-","-","-","-"
"Arizona","0.907","0.859","0.955","0.780"
"Arkansas","0.072","0.000","0.124","0.014","1"
"California","0.887","0.918","0.822","0.887"
"Colorado","0.060","0.140","0.120","0.110"
"Connecticut","-","-","-","-"
"Delaware","0.950","0.950","0.950","0.950"
"District of Columbia","0.960","0.960","0.520","0.970"
"Florida","0.970","N/A","0.560","0.770"
"Georgia","0.850","N/A","0.000","0.750","1"
"Hawaii","1.000","1.000","0.999","1.000"
"Idaho","-","-","-","-","2"
"Illinois","0.861","0.837","0.539","0.840"
"Indiana","0.935","1.000","0.303","0.925"
"Iowa","0.980","0.950","0.800","0.960"
"Kansas","1.000","N/A","0.910","0.970"
"Kentucky","0.900","0.990","0.900","0.900"
"Louisiana","1.000","0.970","0.450","0.930"
"Maine","-","-","-","-"
"Maryland","0.990","0.930","0.370","0.930"
"Massachusetts","0.560","0.550","0.520","0.500"
"Michigan","0.837","0.776","0.503","0.796"
"Minnesota","0.892","0.938","0.679","0.914"
"Mississippi","0.607","N/A","0.242","0.402"
"Missouri","0.995","1.000","0.000","0.970"
"Montana","-","-","-","-"
"Nebraska","0.999","0.999","0.995","0.999"
"Nevada","0.830","0.890","0.000","0.860"
"New Hampshire","0.995","0.991","0.892","0.983"
"New Jersey","0.970","0.980","0.980","0.960"
"New Mexico","0.930","0.910","0.960","0.930"
"New York","0.925","0.898","0.434","0.770"
"North Carolina","0.820","N/A","0.230","0.810","3"
"North Dakota","0.000","1.000","0.000","0.000"
"Ohio","0.968","0.897","0.686","0.966"
"Oklahoma","-","-","-","-"
"Oregon","0.928","0.928","0.941","0.840","4"
"Pennsylvania","0.983","0.982","0.925","0.977"
"Rhode Island","0.944","0.977","0.492","0.948"
"South Carolina","0.940","N/A","0.320","0.940"
"South Dakota","-","-","-","-"
"Tennessee","1.000","N/A","1.000","1.000"
"Texas","0.980","N/A","0.930","0.960"
"Utah","0.930","0.800","0.730","0.660"
"Vermont","-","-","-","-"
"Virginia","0.990","0.930","0.960","0.980","3"
"Washington","0.945","0.960","0.376","0.883"
"West Virginia","0.970","0.930","0.470","0.800"
"Wisconsin","0.868","N/A","0.599","0.929"
"Wyoming","-","-","-","-"

"Notes"
"States were asked to report the share of their Medicaid beneficiaries who were enrolled in comprehensive Medicaid MCOs as of July 1, 2022. States were asked to count only Medicaid (Title XIX) enrollment and to exclude CHIP (Title XXI) enrollment. As of July 1, 2022, 41 states (including DC) had contracts with Medicaid MCOs. Thirty nine states (including DC) had implemented the Medicaid expansion, and 32 of these states operated Medicaid MCOs."

"Sources"
"[KFF Survey of Medicaid Officials in 50 states and DC](https://www.kff.org/medicaid/report/medicaid-budget-survey-for-state-fiscal-years-2022-and-2023) conducted by Health Management Associates, October 2022."

"Definitions"
"*Expansion Adults:* Adults who qualify for coverage under the ACA Medicaid expansion in those states that have adopted it. "
""
"*N/A*: Indicates the state had not implemented the ACA Medicaid expansion as of July 1, 2022, and therefore, did not have any ""expansion adults"" to enroll in MCOs."
""
"*- :* Indicates the state did not contract with Medicaid MCOs as of July 1, 2022."


Footnotes
"1. Arkansas and Georgia did not submit a survey response to the 2022 survey; therefore, 2021 survey data were used for this analysis."
"2. Idaho's Medicaid-Medicare Coordinated Plan (MMCP) program has been recategorized by CMS as an MCO, but is not counted here as such since it is secondary to Medicare."
"3. North Carolina and Virginia did not provide complete data for this question in the 2022 survey; therefore, 2021 survey data were used for this analysis."
"4. In Oregon, MCO enrollees include those enrolled in the state's Coordinated Care Organizations (CCOs)."
